datetime;conductivity;temperature1;temperature 1 corrected;pressure;temperature2;température corrected;voltage;Remarks
2024-07-18T19:19:14;34930;4.66;4.9;5.011;5.2;5.3;3.968;
2024-07-18T19:19:15;34950;4.63;4.87;5.069;5.1;5.2;3.966;
2024-07-18T19:19:16;34950;4.71;4.95;5.046;5;5.1;3.968;
2024-07-18T19:19:16;34980;4.68;4.92;4.995;5;5.1;3.964;
2024-07-18T19:19:17;34960;4.71;4.95;5.038;4.9;4.99;3.964;
2024-07-18T19:19:18;34960;4.68;4.92;5.024;4.8;4.89;3.964;
2024-07-18T19:19:19;34960;4.68;4.92;5.023;4.8;4.89;3.964;
2024-07-18T19:19:19;34950;4.69;4.93;5.03;4.7;4.79;3.966;
2024-07-18T19:19:20;34980;4.69;4.93;5.008;4.7;4.79;3.966;
2024-07-18T19:19:21;34970;4.67;4.91;4.967;4.6;4.69;3.966;
2024-07-18T19:19:22;34940;4.71;4.95;4.977;4.6;4.69;3.966;
2024-07-18T19:19:22;34950;4.72;4.96;5.047;4.6;4.69;3.968;
2024-07-18T19:19:23;34950;4.72;4.96;5.009;4.5;4.59;3.966;
2024-07-18T19:19:24;34950;4.65;4.89;4.991;4.5;4.59;3.968;
2024-07-18T19:19:25;34960;4.71;4.95;4.993;4.4;4.49;3.968;
2024-07-18T19:19:25;34960;4.69;4.93;4.942;4.4;4.49;3.966;
2024-07-18T19:19:26;34950;4.66;4.9;4.949;4.4;4.49;3.966;
2024-07-18T19:19:27;34960;4.7;4.94;4.994;4.3;4.38;3.966;
2024-07-18T19:19:28;34960;4.71;4.95;4.897;4.3;4.38;3.964;
2024-07-18T19:19:28;35110;4.7;4.94;4.305;4.3;4.38;3.964;
2024-07-18T19:19:29;35370;4.87;5.11;3.69;4.2;4.28;3.966;
2024-07-18T19:19:30;35760;5.08;5.32;2.987;4.2;4.28;3.966;
2024-07-18T19:19:31;36530;5.48;5.71;2.356;4.3;4.38;3.966;
2024-07-18T19:19:32;37200;6.25;6.48;1.695;4.3;4.38;3.964;
2024-07-18T19:19:32;37780;7.08;7.3;0.985;4.5;4.59;3.95;
2024-07-18T19:19:33;37980;7.7;7.91;0.403;4.8;4.89;3.958;
2024-07-18T19:19:34;38050;8.08;8.29;-0.276;5.1;5.2;3.96;
2024-07-18T19:19:35;38080;8.28;8.49;-0.751;5.3;5.4;3.964;
2024-07-18T19:19:35;38060;8.37;8.58;-0.856;5.5;5.6;3.952;
2024-07-18T19:19:36;38060;8.45;8.66;-0.963;5.7;5.81;3.9;
2024-07-18T19:19:37;38100;8.52;8.73;-0.925;5.8;5.91;3.882;
2024-07-18T19:19:38;38100;8.52;8.73;-0.454;6;6.11;3.934;
2024-07-18T19:19:38;38130;8.55;8.76;0.305;6.1;6.21;3.96;Début du profil
2024-07-18T19:19:39;38050;8.53;8.74;1.157;6.2;6.31;3.956;
2024-07-18T19:19:40;37720;8.51;8.72;2.023;6.3;6.42;3.958;
2024-07-18T19:19:41;36880;8.17;8.38;2.845;6.4;6.52;3.958;
2024-07-18T19:19:41;35670;7.34;7.56;3.64;6.5;6.62;3.958;
2024-07-18T19:19:42;35300;6.38;6.61;4.456;6.4;6.52;3.958;
2024-07-18T19:19:43;34940;5.72;5.95;5.255;6.2;6.31;3.956;
2024-07-18T19:19:44;34730;5.22;5.46;6.112;6;6.11;3.956;
2024-07-18T19:19:45;34530;4.81;5.05;6.96;5.8;5.91;3.958;
2024-07-18T19:19:45;34420;4.52;4.76;7.825;5.5;5.6;3.954;
2024-07-18T19:19:46;34240;4.28;4.52;8.695;5.3;5.4;3.96;
2024-07-18T19:19:47;34130;4.01;4.26;9.572;5.1;5.2;3.956;
2024-07-18T19:19:48;34080;3.87;4.12;10.449;4.9;4.99;3.956;
2024-07-18T19:19:48;34040;3.67;3.92;11.33;4.7;4.79;3.956;
2024-07-18T19:19:49;33970;3.6;3.85;12.197;4.5;4.59;3.954;
2024-07-18T19:19:50;33860;3.46;3.71;13.062;4.4;4.49;3.952;
2024-07-18T19:19:51;33720;3.38;3.63;13.912;4.2;4.28;3.952;
2024-07-18T19:19:51;33520;3.2;3.45;14.789;4.1;4.18;3.954;
2024-07-18T19:19:52;33350;3.02;3.27;15.644;3.9;3.98;3.952;
2024-07-18T19:19:53;33160;2.82;3.08;16.505;3.8;3.88;3.948;
2024-07-18T19:19:54;33160;2.66;2.92;17.364;3.6;3.67;3.952;
2024-07-18T19:19:54;33080;2.53;2.79;18.228;3.5;3.57;3.946;
2024-07-18T19:19:55;33060;2.47;2.73;19.063;3.3;3.37;3.952;
2024-07-18T19:19:56;32980;2.36;2.62;19.923;3.2;3.27;3.954;
2024-07-18T19:19:57;32900;2.32;2.58;20.79;3;3.06;3.948;
2024-07-18T19:19:57;32880;2.22;2.48;21.65;2.9;2.96;3.956;
2024-07-18T19:19:58;32850;2.15;2.41;22.506;2.8;2.86;3.95;
2024-07-18T19:19:59;32830;2.08;2.34;23.381;2.7;2.76;3.946;
2024-07-18T19:20:00;32830;2.09;2.35;24.253;2.6;2.66;3.952;
2024-07-18T19:20:01;32820;2.03;2.29;25.117;2.5;2.56;3.946;
2024-07-18T19:20:01;32820;2;2.26;25.989;2.4;2.45;3.948;
2024-07-18T19:20:02;32800;1.96;2.22;26.861;2.3;2.35;3.952;
2024-07-18T19:20:03;32780;1.94;2.2;27.722;2.2;2.25;3.952;
2024-07-18T19:20:04;32770;1.93;2.19;28.579;2.2;2.25;3.952;
2024-07-18T19:20:04;32760;1.87;2.13;29.44;2.1;2.15;3.95;
2024-07-18T19:20:05;32760;1.89;2.15;30.308;2;2.05;3.954;
2024-07-18T19:20:06;32690;1.86;2.12;31.155;2;2.05;3.95;
2024-07-18T19:20:07;32680;1.84;2.1;32.017;1.9;1.95;3.952;
2024-07-18T19:20:07;32660;1.8;2.06;32.852;1.8;1.84;3.954;
2024-07-18T19:20:08;32650;1.8;2.06;33.7;1.8;1.84;3.954;
2024-07-18T19:20:09;32600;1.74;2.01;34.549;1.7;1.74;3.952;
2024-07-18T19:20:10;32570;1.72;1.99;35.405;1.7;1.74;3.952;
2024-07-18T19:20:10;32470;1.67;1.94;36.257;1.6;1.64;3.952;
2024-07-18T19:20:11;32480;1.58;1.85;37.101;1.6;1.64;3.948;
2024-07-18T19:20:12;32490;1.59;1.86;37.947;1.5;1.54;3.954;
2024-07-18T19:20:13;32520;1.59;1.86;38.806;1.5;1.54;3.956;
2024-07-18T19:20:13;32540;1.56;1.83;39.665;1.4;1.44;3.952;
2024-07-18T19:20:14;32550;1.58;1.85;40.485;1.4;1.44;3.954;
2024-07-18T19:20:15;32550;1.6;1.87;41.375;1.3;1.34;3.952;
2024-07-18T19:20:16;32550;1.56;1.83;42.222;1.3;1.34;3.954;
2024-07-18T19:20:17;32530;1.59;1.86;43.058;1.3;1.34;3.954;
2024-07-18T19:20:17;32520;1.59;1.86;43.926;1.2;1.24;3.948;
2024-07-18T19:20:18;32530;1.54;1.81;44.77;1.2;1.24;3.956;
2024-07-18T19:20:19;32530;1.54;1.81;45.606;1.2;1.24;3.952;
2024-07-18T19:20:20;32510;1.57;1.84;46.458;1.2;1.24;3.956;
2024-07-18T19:20:20;32500;1.53;1.8;47.293;1.2;1.24;3.954;
2024-07-18T19:20:21;32490;1.53;1.8;48.133;1.1;1.13;3.948;
2024-07-18T19:20:22;32470;1.52;1.79;48.97;1.1;1.13;3.952;
2024-07-18T19:20:23;32470;1.45;1.72;49.806;1.1;1.13;3.952;
2024-07-18T19:20:23;32480;1.48;1.75;50.644;1.1;1.13;3.954;
2024-07-18T19:20:24;32500;1.43;1.7;51.488;1.1;1.13;3.952;
2024-07-18T19:20:25;32550;1.47;1.74;52.328;1;1.03;3.954;
2024-07-18T19:20:26;32510;1.51;1.78;53.16;1;1.03;3.952;
2024-07-18T19:20:26;32530;1.49;1.76;54.002;1;1.03;3.954;
2024-07-18T19:20:27;32500;1.53;1.8;54.833;1;1.03;3.954;
2024-07-18T19:20:28;32500;1.45;1.72;55.677;1;1.03;3.948;
2024-07-18T19:20:29;32500;1.45;1.72;56.513;1;1.03;3.954;
2024-07-18T19:20:30;32520;1.45;1.72;57.329;1;1.03;3.956;
2024-07-18T19:20:30;32500;1.44;1.71;58.172;1;1.03;3.954;
2024-07-18T19:20:31;32490;1.41;1.68;58.984;1;1.03;3.952;
2024-07-18T19:20:32;32480;1.41;1.68;59.814;1;1.03;3.954;
2024-07-18T19:20:33;32460;1.43;1.7;60.644;1;1.03;3.954;
2024-07-18T19:20:33;32460;1.38;1.65;61.468;0.9;0.93;3.954;
2024-07-18T19:20:34;32440;1.38;1.65;62.294;0.9;0.93;3.952;
2024-07-18T19:20:35;32440;1.37;1.64;63.12;0.9;0.93;3.954;
2024-07-18T19:20:36;32430;1.35;1.62;63.926;0.9;0.93;3.952;
2024-07-18T19:20:36;32420;1.38;1.65;64.745;0.9;0.93;3.954;
2024-07-18T19:20:37;32390;1.38;1.65;65.568;0.9;0.93;3.952;
2024-07-18T19:20:38;32390;1.39;1.66;66.38;0.9;0.93;3.952;
2024-07-18T19:20:39;32390;1.34;1.61;67.196;0.9;0.93;3.954;
2024-07-18T19:20:39;32380;1.32;1.59;68.018;0.9;0.93;3.956;
2024-07-18T19:20:40;32380;1.31;1.58;68.822;0.9;0.93;3.956;
2024-07-18T19:20:41;32370;1.34;1.61;69.615;0.9;0.93;3.956;
2024-07-18T19:20:42;32360;1.26;1.53;70.388;0.9;0.93;3.956;
2024-07-18T19:20:42;32380;1.27;1.54;71.186;0.9;0.93;3.956;
2024-07-18T19:20:43;32400;1.27;1.54;71.975;0.9;0.93;3.956;
2024-07-18T19:20:44;32380;1.25;1.52;72.764;0.9;0.93;3.956;
2024-07-18T19:20:45;32380;1.26;1.53;73.538;0.9;0.93;3.956;
2024-07-18T19:20:46;32380;1.24;1.51;74.31;0.9;0.93;3.958;
2024-07-18T19:20:46;32390;1.27;1.54;75.065;0.8;0.83;3.956;
2024-07-18T19:20:47;32370;1.24;1.51;75.847;0.8;0.83;3.954;
2024-07-18T19:20:48;32370;1.26;1.53;76.611;0.8;0.83;3.956;
2024-07-18T19:20:49;32370;1.28;1.55;77.375;0.8;0.83;3.958;
2024-07-18T19:20:49;32370;1.25;1.52;78.133;0.8;0.83;3.956;
2024-07-18T19:20:50;32370;1.26;1.53;78.882;0.8;0.83;3.958;
2024-07-18T19:20:51;32370;1.23;1.5;79.636;0.8;0.83;3.958;
2024-07-18T19:20:52;32380;1.19;1.46;80.246;0.8;0.83;3.956;
2024-07-18T19:20:52;32380;1.24;1.51;80.824;0.8;0.83;3.948;
2024-07-18T19:20:53;32380;1.24;1.51;81.377;0.8;0.83;3.958;
2024-07-18T19:20:54;32380;1.23;1.5;81.493;0.8;0.83;3.96;
2024-07-18T19:20:55;32380;1.28;1.55;81.371;0.8;0.83;3.956;
2024-07-18T19:20:55;32370;1.24;1.51;81.149;0.8;0.83;3.958;
2024-07-18T19:20:56;32380;1.24;1.51;80.54;0.8;0.83;3.958;
2024-07-18T19:20:57;32380;1.2;1.47;80.069;0.8;0.83;3.96;
2024-07-18T19:20:58;32380;1.24;1.51;79.594;0.8;0.83;3.96;
2024-07-18T19:20:59;32380;1.24;1.51;79.114;0.8;0.83;3.96;
2024-07-18T19:20:59;32380;1.28;1.55;78.605;0.8;0.83;3.956;
2024-07-18T19:21:00;32370;1.26;1.53;78.067;0.8;0.83;3.958;
2024-07-18T19:21:01;32370;1.26;1.53;77.585;0.8;0.83;3.954;
2024-07-18T19:21:02;32380;1.26;1.53;77.122;0.8;0.83;3.958;
2024-07-18T19:21:02;32370;1.24;1.51;76.521;0.8;0.83;3.958;
2024-07-18T19:21:03;32380;1.24;1.51;75.888;0.7;0.73;3.958;
2024-07-18T19:21:04;32370;1.23;1.5;75.344;0.7;0.73;3.958;
2024-07-18T19:21:05;32380;1.26;1.53;74.784;0.7;0.73;3.958;
2024-07-18T19:21:05;32390;1.27;1.54;74.239;0.7;0.73;3.958;
2024-07-18T19:21:06;32390;1.27;1.54;73.627;0.7;0.73;3.956;
2024-07-18T19:21:07;32390;1.23;1.5;73.071;0.7;0.73;3.956;
2024-07-18T19:21:08;32390;1.28;1.55;72.526;0.7;0.73;3.956;
2024-07-18T19:21:08;32400;1.29;1.56;72.022;0.7;0.73;3.956;
2024-07-18T19:21:09;32380;1.28;1.55;71.543;0.7;0.73;3.958;
2024-07-18T19:21:10;32400;1.27;1.54;71.135;0.7;0.73;3.958;
2024-07-18T19:21:11;32390;1.25;1.52;70.697;0.7;0.73;3.958;
2024-07-18T19:21:11;32380;1.28;1.55;70.154;0.7;0.73;3.956;
2024-07-18T19:21:12;32380;1.26;1.53;69.684;0.7;0.73;3.958;
2024-07-18T19:21:13;32370;1.25;1.52;69.191;0.7;0.73;3.958;
2024-07-18T19:21:14;32400;1.27;1.54;68.725;0.7;0.73;3.958;
2024-07-18T19:21:15;32390;1.3;1.57;68.27;0.7;0.73;3.958;
2024-07-18T19:21:15;32380;1.25;1.52;67.813;0.7;0.73;3.96;
2024-07-18T19:21:16;32400;1.27;1.54;67.276;0.7;0.73;3.958;
2024-07-18T19:21:17;32400;1.25;1.52;66.757;0.7;0.73;3.958;
2024-07-18T19:21:18;32400;1.33;1.6;66.248;0.7;0.73;3.958;
2024-07-18T19:21:18;32410;1.3;1.57;65.686;0.7;0.73;3.958;
2024-07-18T19:21:19;32410;1.3;1.57;65.062;0.7;0.73;3.958;
2024-07-18T19:21:20;32420;1.27;1.54;64.526;0.7;0.73;3.956;
2024-07-18T19:21:21;32440;1.36;1.63;64.012;0.6;0.63;3.96;
2024-07-18T19:21:21;32460;1.32;1.59;63.471;0.6;0.63;3.956;
2024-07-18T19:21:22;32440;1.33;1.6;62.842;0.6;0.63;3.958;
2024-07-18T19:21:23;32450;1.35;1.62;62.307;0.7;0.73;3.958;
2024-07-18T19:21:24;32460;1.34;1.61;61.681;0.6;0.63;3.956;
2024-07-18T19:21:24;32490;1.38;1.65;61.07;0.7;0.73;3.958;
2024-07-18T19:21:25;32490;1.36;1.63;60.472;0.7;0.73;3.956;
2024-07-18T19:21:26;32500;1.36;1.63;59.959;0.7;0.73;3.956;
2024-07-18T19:21:27;32510;1.37;1.64;59.432;0.7;0.73;3.956;
2024-07-18T19:21:28;32520;1.41;1.68;58.872;0.7;0.73;3.958;
2024-07-18T19:21:28;32530;1.44;1.71;58.374;0.7;0.73;3.962;
2024-07-18T19:21:29;32520;1.42;1.69;57.856;0.7;0.73;3.96;
2024-07-18T19:21:30;32520;1.42;1.69;57.435;0.7;0.73;3.96;
2024-07-18T19:21:31;32520;1.44;1.71;56.9;0.7;0.73;3.956;
2024-07-18T19:21:31;32520;1.45;1.72;56.487;0.7;0.73;3.958;
2024-07-18T19:21:32;32520;1.43;1.7;55.983;0.7;0.73;3.958;
2024-07-18T19:21:33;32510;1.42;1.69;55.513;0.7;0.73;3.958;
2024-07-18T19:21:34;32530;1.43;1.7;55.058;0.7;0.73;3.958;
2024-07-18T19:21:34;32530;1.45;1.72;54.554;0.7;0.73;3.956;
2024-07-18T19:21:35;32540;1.5;1.77;54.074;0.7;0.73;3.956;
2024-07-18T19:21:36;32550;1.47;1.74;53.546;0.7;0.73;3.956;
2024-07-18T19:21:37;32570;1.48;1.75;53.114;0.7;0.73;3.958;
2024-07-18T19:21:37;32600;1.47;1.74;52.623;0.7;0.73;3.958;
2024-07-18T19:21:38;32580;1.49;1.76;52.205;0.7;0.73;3.956;
2024-07-18T19:21:39;32560;1.5;1.77;51.701;0.7;0.73;3.958;
2024-07-18T19:21:40;32550;1.5;1.77;51.253;0.7;0.73;3.956;
2024-07-18T19:21:40;32530;1.51;1.78;50.748;0.7;0.73;3.958;
2024-07-18T19:21:41;32540;1.47;1.74;50.383;0.7;0.73;3.958;
2024-07-18T19:21:42;32510;1.49;1.76;49.871;0.7;0.73;3.956;
2024-07-18T19:21:43;32520;1.44;1.71;49.417;0.7;0.73;3.958;
2024-07-18T19:21:44;32510;1.46;1.73;48.911;0.7;0.73;3.958;
2024-07-18T19:21:44;32520;1.47;1.74;48.515;0.7;0.73;3.958;
2024-07-18T19:21:45;32530;1.47;1.74;47.962;0.7;0.73;3.956;
2024-07-18T19:21:46;32530;1.48;1.75;47.537;0.7;0.73;3.956;
2024-07-18T19:21:47;32550;1.52;1.79;47.025;0.7;0.73;3.958;
2024-07-18T19:21:47;32550;1.49;1.76;46.653;0.7;0.73;3.956;
2024-07-18T19:21:48;32550;1.47;1.74;46.208;0.7;0.73;3.956;
2024-07-18T19:21:49;32560;1.47;1.74;45.857;0.7;0.73;3.954;
2024-07-18T19:21:50;32540;1.53;1.8;45.493;0.7;0.73;3.958;
2024-07-18T19:21:50;32560;1.5;1.77;45.02;0.7;0.73;3.958;
2024-07-18T19:21:51;32570;1.49;1.76;44.583;0.7;0.73;3.956;
2024-07-18T19:21:52;32560;1.53;1.8;44.091;0.7;0.73;3.956;
2024-07-18T19:21:53;32560;1.52;1.79;43.666;0.7;0.73;3.956;
2024-07-18T19:21:53;32570;1.53;1.8;43.155;0.7;0.73;3.956;
2024-07-18T19:21:54;32560;1.5;1.77;42.71;0.7;0.73;3.958;
2024-07-18T19:21:55;32580;1.55;1.82;42.223;0.7;0.73;3.954;
2024-07-18T19:21:56;32570;1.57;1.84;41.909;0.7;0.73;3.956;
2024-07-18T19:21:56;32590;1.56;1.83;41.453;0.7;0.73;3.958;
2024-07-18T19:21:57;32590;1.55;1.82;41.035;0.7;0.73;3.956;
2024-07-18T19:21:58;32580;1.53;1.8;40.748;0.7;0.73;3.954;
2024-07-18T19:21:59;32590;1.59;1.86;40.343;0.7;0.73;3.956;
2024-07-18T19:22:00;32570;1.55;1.82;39.986;0.7;0.73;3.954;
2024-07-18T19:22:00;32580;1.54;1.81;39.668;0.7;0.73;3.954;
2024-07-18T19:22:01;32580;1.57;1.84;39.15;0.7;0.73;3.956;
2024-07-18T19:22:02;32580;1.59;1.86;38.701;0.7;0.73;3.956;
2024-07-18T19:22:03;32580;1.54;1.81;38.323;0.7;0.73;3.954;
2024-07-18T19:22:03;32570;1.55;1.82;37.841;0.7;0.73;3.954;
2024-07-18T19:22:04;32590;1.59;1.86;37.403;0.7;0.73;3.954;
2024-07-18T19:22:05;32600;1.59;1.86;36.921;0.7;0.73;3.958;
2024-07-18T19:22:06;32580;1.59;1.86;36.522;0.7;0.73;3.956;
2024-07-18T19:22:06;32560;1.58;1.85;36.244;0.7;0.73;3.956;
2024-07-18T19:22:07;32550;1.57;1.84;35.81;0.7;0.73;3.954;
2024-07-18T19:22:08;32540;1.54;1.81;35.395;0.7;0.73;3.954;
2024-07-18T19:22:09;32600;1.54;1.81;34.859;0.7;0.73;3.954;
2024-07-18T19:22:09;32620;1.59;1.86;34.526;0.7;0.73;3.956;
2024-07-18T19:22:10;32680;1.63;1.9;34.039;0.7;0.73;3.956;
2024-07-18T19:22:11;32720;1.69;1.96;33.53;0.7;0.73;3.952;
2024-07-18T19:22:12;32710;1.68;1.95;33.173;0.7;0.73;3.954;
2024-07-18T19:22:13;32750;1.7;1.97;32.67;0.7;0.73;3.954;
2024-07-18T19:22:13;32740;1.72;1.99;32.178;0.7;0.73;3.956;
2024-07-18T19:22:14;32750;1.76;2.03;32.139;0.7;0.73;3.948;
2024-07-18T19:22:15;32760;1.8;2.06;31.721;0.7;0.73;3.956;
2024-07-18T19:22:16;32760;1.79;2.05;31.212;0.8;0.83;3.954;
2024-07-18T19:22:16;32770;1.75;2.02;30.779;0.8;0.83;3.956;
2024-07-18T19:22:17;32770;1.77;2.04;30.401;0.8;0.83;3.956;
2024-07-18T19:22:18;32770;1.78;2.04;30.279;0.8;0.83;3.948;
2024-07-18T19:22:19;32770;1.78;2.04;30.137;0.8;0.83;3.956;
2024-07-18T19:22:19;32820;1.78;2.04;29.684;0.8;0.83;3.956;
2024-07-18T19:22:20;32840;1.81;2.07;29.219;0.8;0.83;3.948;
2024-07-18T19:22:21;32840;1.82;2.08;28.813;0.8;0.83;3.948;
2024-07-18T19:22:22;32860;1.82;2.08;28.486;0.8;0.83;3.948;
2024-07-18T19:22:22;32870;1.84;2.1;28.046;0.8;0.83;3.954;
2024-07-18T19:22:23;32860;1.83;2.09;27.701;0.8;0.83;3.948;
2024-07-18T19:22:24;32870;1.89;2.15;27.32;0.8;0.83;3.948;
2024-07-18T19:22:25;32880;1.85;2.11;27;0.8;0.83;3.954;
2024-07-18T19:22:25;32860;1.87;2.13;26.741;0.9;0.93;3.948;
2024-07-18T19:22:26;32880;1.9;2.16;26.276;0.9;0.93;3.948;
2024-07-18T19:22:27;32880;1.89;2.15;25.949;0.9;0.93;3.952;
2024-07-18T19:22:28;32910;1.95;2.21;25.632;0.9;0.93;3.948;
2024-07-18T19:22:29;32920;1.91;2.17;25.467;0.9;0.93;3.946;
2024-07-18T19:22:29;32920;1.94;2.2;25.099;0.9;0.93;3.948;
2024-07-18T19:22:30;32930;1.93;2.19;24.698;0.9;0.93;3.952;
2024-07-18T19:22:31;32940;1.96;2.22;24.211;0.9;0.93;3.948;
2024-07-18T19:22:32;32940;1.94;2.2;23.883;0.9;0.93;3.948;
2024-07-18T19:22:32;32930;1.92;2.18;23.473;0.9;0.93;3.948;
2024-07-18T19:22:33;32940;1.92;2.18;23.085;0.9;0.93;3.948;
2024-07-18T19:22:34;32940;1.95;2.21;22.713;0.9;0.93;3.948;
2024-07-18T19:22:35;32940;1.97;2.23;22.184;0.9;0.93;3.952;
2024-07-18T19:22:35;32980;1.98;2.24;21.978;0.9;0.93;3.952;
2024-07-18T19:22:36;33020;2;2.26;21.525;0.9;0.93;3.954;
2024-07-18T19:22:37;33040;2.1;2.36;21.151;0.9;0.93;3.948;
2024-07-18T19:22:38;33090;2.05;2.31;20.813;0.9;0.93;3.948;
2024-07-18T19:22:38;33140;2.12;2.38;20.299;1;1.03;3.952;
2024-07-18T19:22:39;33220;2.15;2.41;19.969;1;1.03;3.948;
2024-07-18T19:22:40;33280;2.23;2.49;19.552;1;1.03;3.934;
2024-07-18T19:22:41;33280;2.26;2.52;19.363;1;1.03;3.934;
2024-07-18T19:22:41;33290;2.27;2.53;18.86;1.1;1.13;3.934;
2024-07-18T19:22:42;33300;2.34;2.6;18.525;1.1;1.13;3.93;
2024-07-18T19:22:43;33350;2.32;2.58;18.202;1.1;1.13;3.932;
2024-07-18T19:22:44;33370;2.39;2.65;17.821;1.1;1.13;3.928;
2024-07-18T19:22:45;33380;2.41;2.67;17.486;1.1;1.13;3.932;
2024-07-18T19:22:45;33380;2.43;2.69;17.048;1.2;1.24;3.934;
2024-07-18T19:22:46;33370;2.45;2.71;16.692;1.2;1.24;3.932;
2024-07-18T19:22:47;33390;2.42;2.68;16.255;1.2;1.24;3.928;
2024-07-18T19:22:48;33480;2.46;2.72;15.906;1.2;1.24;3.928;
2024-07-18T19:22:48;33560;2.49;2.75;15.533;1.2;1.24;3.928;
2024-07-18T19:22:49;33600;2.58;2.84;15.143;1.3;1.34;3.93;
2024-07-18T19:22:50;33640;2.62;2.88;14.831;1.3;1.34;3.932;
2024-07-18T19:22:51;33690;2.66;2.92;14.476;1.3;1.34;3.934;
2024-07-18T19:22:51;33730;2.72;2.98;14.127;1.4;1.44;3.934;
2024-07-18T19:22:52;33870;2.79;3.05;13.685;1.4;1.44;3.932;
2024-07-18T19:22:53;34010;2.93;3.19;13.465;1.4;1.44;3.932;
2024-07-18T19:22:54;34130;3.02;3.27;13.043;1.5;1.54;3.934;
2024-07-18T19:22:54;34220;3.11;3.36;12.707;1.5;1.54;3.934;
2024-07-18T19:22:55;34300;3.26;3.51;12.318;1.6;1.64;3.932;
2024-07-18T19:22:56;34350;3.33;3.58;11.971;1.7;1.74;3.934;
2024-07-18T19:22:57;34430;3.37;3.62;11.64;1.7;1.74;3.934;
2024-07-18T19:22:58;34460;3.46;3.71;11.305;1.8;1.84;3.934;
2024-07-18T19:22:58;34480;3.48;3.73;11;1.9;1.95;3.932;
2024-07-18T19:22:59;34510;3.52;3.77;10.624;1.9;1.95;3.932;
2024-07-18T19:23:00;34520;3.56;3.81;10.295;2;2.05;3.934;
2024-07-18T19:23:01;34560;3.6;3.85;9.932;2;2.05;3.934;
2024-07-18T19:23:01;34570;3.6;3.85;9.692;2;2.05;3.934;
2024-07-18T19:23:02;34650;3.66;3.91;9.265;2.1;2.15;3.932;
2024-07-18T19:23:03;34690;3.71;3.96;8.99;2.1;2.15;3.93;
2024-07-18T19:23:04;34710;3.74;3.99;8.626;2.2;2.25;3.932;
2024-07-18T19:23:04;34760;3.76;4.01;8.388;2.2;2.25;3.932;
2024-07-18T19:23:05;34810;3.81;4.06;8.065;2.3;2.35;3.932;
2024-07-18T19:23:06;34880;3.87;4.12;7.763;2.3;2.35;3.934;
2024-07-18T19:23:07;34970;3.98;4.23;7.488;2.3;2.35;3.93;
2024-07-18T19:23:07;35060;4.01;4.26;7.174;2.4;2.45;3.932;
2024-07-18T19:23:08;35170;4.1;4.35;6.935;2.5;2.56;3.942;
2024-07-18T19:23:09;35270;4.18;4.42;6.524;2.5;2.56;3.942;
2024-07-18T19:23:10;35400;4.32;4.56;6.272;2.6;2.66;3.942;
2024-07-18T19:23:10;35510;4.43;4.67;5.886;2.7;2.76;3.964;
2024-07-18T19:23:11;35560;4.55;4.79;5.669;2.7;2.76;3.964;
